word	espeak_ipa
a	ˈe‍ɪ
about	ɐbˈa‍ʊt
after	ˈæftɚ
algorithm	ˈælɡɚɹˌɪθəm
all	ˈɔːl
also	ˈɔːlso‍ʊ
always	ˈɔːlwe‍ɪz
amplitude	ˈæmplɪtˌuːd
an	ˈæn
and	ˈænd
another	ɐnˈʌðɚ
any	ˈɛni
approximately	ɐpɹˈɑːksɪmətli
april	ˈe‍ɪpɹə‍l
architecture	ˈɑː‍ɹkɪtˌɛkt‍ʃɚ
artificial	ˌɑː‍ɹɾɪfˈɪʃə‍l
as	ˈæz
at	ˈæt
attention	ɐtˈɛnʃən
audio	ˈɔːdɪʲˌo‍ʊ
august	ˈɔːɡəst
available	ɐvˈe‍ɪləbə‍l
back	bˈæk
ballet	bælˈe‍ɪ
be	bˈiː
beautiful	bjˈuːɾifə‍l
because	bɪkˈʌz
before	bᵻfˈɔː‍ɹ
being	bˈiːʲɪŋ
better	bˈɛɾɚ
between	bᵻtwˈiːn
black	blˈæk
blood	blˈʌd
blue	blˈuː
both	bˈo‍ʊθ
bough	bˈa‍ʊ
boutique	buːtˈiːk
bread	bɹˈɛd
brown	bɹˈa‍ʊn
business	bˈɪznəs
but	bˈʌt
by	bˈa‍ɪ
cafe	kˈæfe‍ɪ
came	kˈe‍ɪm
can	kˈæn
careful	kˈɛ‍ɹfə‍l
case	kˈe‍ɪs
chaos	kˈe‍ɪɑːs
character	kˈæɹɪktɚ
child	t‍ʃˈa‍ɪld
children	t‍ʃˈɪldɹən
chocolate	t‍ʃˈɑːklət
choir	kwˈa‍ɪ‍ɚ
city	sˈɪɾi
colonel	kˈɜːnə‍l
color	kˈʌlɚ
come	kˈʌm
comfortable	kˈʌmftəbə‍l
communication	kəmjˌuːnɪkˈe‍ɪʃən
company	kˈʌmpəni
computer	kəmpjˈuːɾɚ
congratulations	kəŋɡɹˈæt‍ʃʊlˈe‍ɪʃənz
considerable	kənsˈɪdɚɹəbə‍l
cough	kˈɔf
could	kˈʊd
country	kˈʌntɹi
darkness	dˈɑː‍ɹknəs
data	dˈe‍ɪɾə
day	dˈe‍ɪ
debris	dəbɹˈiː
december	dᵻsˈɛmbɚ
decision	dᵻsˈɪʒən
decoder	dᵻkˈo‍ʊdɚ
development	dɪvˈɛləpmənt
dictionary	dˈɪkʃənˌɛɹi
different	dˈɪfɹənt
digital	dˈɪd‍ʒɪɾə‍l
do	dˈuː
doctor	dˈɑːktɚ
door	dˈɔː‍ɹ
dough	dˈo‍ʊ
during	dˈʊ‍ɹɹɪŋ
each	ˈiːt‍ʃ
education	ˌɛd‍ʒuːkˈe‍ɪʃən
eight	ˈe‍ɪt
eleven	ᵻlˈɛvən
embedding	ɛmbˈɛdɪŋ
encoder	ɛŋkˈo‍ʊdɚ
end	ˈɛnd
english	ˈɪŋɡlɪʃ
enough	ɪnˈʌf
environment	ɛnvˈa‍ɪɹənmənt
environmental	ɛnvˌa‍ɪɹənmˈɛntə‍l
even	ˈiːvən
ever	ˈɛvɚ
every	ˈɛvɹi
extraordinary	ɛkstɹˈɔː‍ɹdɪnˌɛɹi
eye	ˈa‍ɪ
eyes	ˈa‍ɪz
fact	fˈækt
factor	fˈæktɚ
familiar	fəmˈɪlɪ‍ɹ
family	fˈæmɪli
favor	fˈe‍ɪvɚ
february	fˈɛbɹuːˌɛɹi
few	fjˈuː
fiancee	fiʲˈɑːnse‍ɪ
fifteen	fˈɪftiːn
first	fˈɜːst
five	fˈa‍ɪv
follow	fˈɑːlo‍ʊ
food	fˈuːd
foot	fˈʊt
for	fˈɔː‍ɹ
found	fˈa‍ʊnd
four	fˈɔː‍ɹ
fourteen	fˈɔː‍ɹtiːn
frequency	fɹˈiːkwənsi
friday	fɹˈa‍ɪde‍ɪ
from	fɹˈʌm
fruit	fɹˈuːt
generated	d‍ʒˈɛnɚɹˌe‍ɪɾᵻd
genre	ʒˈɑːnɹə
get	ɡˈɛt
give	ɡˈɪv
gnaw	nˈɔː
go	ɡˈo‍ʊ
going	ɡˈo‍ʊɪŋ
good	ɡˈʊd
government	ɡˈʌvɚnmənt
great	ɡɹˈe‍ɪt
green	ɡɹˈiːn
group	ɡɹˈuːp
hand	hˈænd
happiness	hˈæpɪnəs
have	hˈæv
he	hˈiː
