word	espeak_ipa	our_ipa	status
the	ðˈə	ðə	MISMATCH
a	ˈe‍ɪ	ə	MISMATCH
was	wˈʌz	wˈɑːz	MISMATCH
are	ˈɑː‍ɹ	ˈɑːɹ	MISMATCH
being	bˈiːʲɪŋ	bˈiːɪŋ	MISMATCH
may	mˈe‍ɪ	mˈeɪ	MISMATCH
might	mˈa‍ɪt	mˈaɪt	MISMATCH
in	ˈɪn	ɪn	MISMATCH
for	fˈɔː‍ɹ	fˈɔːɹ	MISMATCH
on	ˈɔn	ˈɑːn	MISMATCH
by	bˈa‍ɪ	bˈaɪ	MISMATCH
into	ˈɪntʊ	ˈɪntuː	MISMATCH
during	dˈʊ‍ɹɹɪŋ	dˈʊɹɪŋ	MISMATCH
before	bᵻfˈɔː‍ɹ	bɪfˈɔːɹ	MISMATCH
after	ˈæftɚ	ˈæftɜː	MISMATCH
below	bᵻlˈo‍ʊ	bɪlˈoʊ	MISMATCH
between	bᵻtwˈiːn	bɪtwˈiːn	MISMATCH
under	ˈʌndɚ	ˈʌndɜː	MISMATCH
those	ðˈo‍ʊz	ðˈoʊz	MISMATCH
they	ðˈe‍ɪ	ðˈeɪ	MISMATCH
my	mˈa‍ɪ	mˈaɪ	MISMATCH
your	jˈʊ‍ɹ	jˈɔːɹ	MISMATCH
our	ˈa‍ʊɚ	ˈaʊɜː	MISMATCH
their	ðˈɛ‍ɹ	ðˈɛɹ	MISMATCH
no	nˈo‍ʊ	nˈoʊ	MISMATCH
nor	nˈɔː‍ɹ	nˈɔːɹ	MISMATCH
or	ˈɔː‍ɹ	ˈɔːɹ	MISMATCH
and	ˈænd	ənd	MISMATCH
hello	həlˈo‍ʊ	həlˈoʊ	MISMATCH
audio	ˈɔːdɪʲˌo‍ʊ	ˈɑːdioʊ	MISMATCH
voice	vˈɔ‍ɪs	vˈɔɪs	MISMATCH
speech	spˈiːt‍ʃ	spˈiːtʃ	MISMATCH
language	lˈæŋɡwɪd‍ʒ	lˈæŋɡwədʒ	MISMATCH
computer	kəmpjˈuːɾɚ	kəmpjˈuːtɜː	MISMATCH
artificial	ˌɑː‍ɹɾɪfˈɪʃə‍l	ɑːɹtəfˈɪʃəl	MISMATCH
intelligence	ɪntˈɛlɪd‍ʒəns	ɪntˈɛlədʒəns	MISMATCH
generated	d‍ʒˈɛnɚɹˌe‍ɪɾᵻd	dʒˈɛnɜːeɪtəd	MISMATCH
model	mˈɑːdə‍l	mˈɑːdəl	MISMATCH
phone	fˈo‍ʊn	fˈoʊn	MISMATCH
phoneme	fˈo‍ʊniːm	fˈoʊnim	MISMATCH
dictionary	dˈɪkʃənˌɛɹi	dˈɪkʃənɛɹi	MISMATCH
pronounce	pɹənˈa‍ʊns	pɹənˈaʊns	MISMATCH
pronunciation	pɹənˌʌnsɪʲˈe‍ɪʃən	pɹoʊnʌnsiˈeɪʃən	MISMATCH
german	d‍ʒˈɜːmən	dʒˈɜːmən	MISMATCH
french	fɹˈɛnt‍ʃ	fɹˈɛntʃ	MISMATCH
natural	nˈæt‍ʃɚɹə‍l	nˈætʃɜːəl	MISMATCH
neural	nˈʊ‍ɹɹə‍l	nˈʊɹəl	MISMATCH
data	dˈe‍ɪɾə	dˈeɪtə	MISMATCH
digital	dˈɪd‍ʒɪɾə‍l	dˈɪdʒətəl	MISMATCH
though	ðˈo‍ʊ	ðˈoʊ	MISMATCH
thorough	θˈʌɹo‍ʊ	θˈɜːoʊ	MISMATCH
cough	kˈɔf	kˈɑːf	MISMATCH
